cargo_offer_extracted_ID;emailID;cargo_offerID;cargo;load_place;disch_place;laycan;terms;commission;kibana_extracted;load_place_lat;load_place_lon;disch_place_lat;disch_place_lon;_created_on;date
8061;720551;NULL;+30-210 4290610;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22.02.2018 12:17;2018-02-22 10:02:34
8062;720551;NULL;16181091-LD;Jonathan;NULL;NULL;23/24 FEB;NULL;NULL;NULL;NULL;NULL;NULL;22.02.2018 12:17;2018-02-22 10:02:34
8063;720553;NULL;NULL;FANGCHENG, CHINA;CHITTAGONG SEAPORT, BANGLADESH MAR;10/18., 2018;CQD BENDS;2.5% PUS;NULL;NULL;NULL;NULL;NULL;22.02.2018 12:17;2018-02-22 07:52:21
8064;720554;NULL;NULL;FANGCHENG, CHINA;CHITTAGONG SEAPORT, BANGLADESH MAR;10/18., 2018;CQD BENDS;2.5% PUS;NULL;NULL;NULL;NULL;NULL;22.02.2018 12:17;2018-02-22 07:52:23
8069;720555;NULL;VRILISSIA PHONE:0030;NULL;NULL;NULL;30 6944562539 359 887 568291;NULL;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 16:01:27
8070;720555;NULL;20,000 MT 10 PCT MOLOO BLK MAP SF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 16:01:27
8071;720555;NULL;ABT 40+ M/M 8000 MT BLK MCP(average;SILLAMAE;MISS RIVER;0,811;8000C,KLAIPEDA 4000C;2,5 ADD PUS;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 16:01:27
8072;720557;NULL;45000 5 PCT SCRAP XMBT STOW 50 CU;NULL;NULL;NULL;NULL;3.75% PUS;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 16:00:24
8073;720557;NULL;FT BALE PER TN;NULL;NULL;PPT;8000 SAT NOON SHEX EIU/3000 SHINC;NULL;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 16:00:24
8074;720557;NULL;26600-28000 SCRAP XMBT STOW 50 CU FT BALE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 16:00:24
8075;720557;NULL;PCT SCRAP XMBT STOW DWT;NULL;NULL;PPT-END MARCH;8000 SAT NOON SHEX EIU/5000 SHINC;NULL;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 16:00:24
8076;720557;NULL;PCT SCRAP XMBT STOW DWT;NULL;NULL;NULL;8000 SAT NOON SHEX EIU/3500 SHINC;NULL;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 16:00:24
8077;720559;NULL;50K/10 PCT PETCOKE;VENEZUELA;TURKEY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 15:55:46
8078;720559;NULL;50,000 mt 10% moloo blk petcoke abt 46’;NULL;Türkiye;PPT ONW;5000 chopt 10000/10000, shinc bends;1.25%ADD PUS;NULL;NULL;NULL;NULL;NULL;22.02.2018 16:44;2018-02-22 15:55:46
