"id";"name";"stowage_factor";"sf_unit";"created_at";"updated_at";"deleted_at"
1;"Antimony";20.0;1;"";"";""
2;"Barley";53.5;1;"";"";""
3;"Bauxite";31.5;1;"";"";""
4;"Beans";53.0;1;"";"";""
5;"Bone Meal Calcinet";106.0;1;"";"";""
6;"Bran Rice";63.5;1;"";"";""
7;"Buick Wheat";55.5;1;"";"";""
8;"Clay";27.5;1;"";"";""
9;"Coal ";46.0;1;"";"";""
10;"Cobalt";20.0;1;"";"";""
11;"Cobbles";49.0;1;"";"";""
12;"Coconut";140.0;1;"";"";""
13;"Cooper concentrate";18.0;1;"";"";""
14;"Copra";90.5;1;"";"";""
15;"Copra chips";58.0;1;"";"";""
16;"Copra pellets";63.0;1;"";"";""
17;"Corn";54.5;1;"";"";""
18;"Cottonseeds";65.0;1;"";"";""
19;"Duff Dross";42.0;1;"";"";""
20;"Feldspar";30.0;1;"";"";""
21;"Ferro cromo";15.0;1;"";"";""
22;"Ferro silicon";25.0;1;"";"";""
23;"Fish meal";65.0;1;"";"";""
24;"Grains";44.0;1;"";"";""
25;"Graphite";27.5;1;"";"";""
26;"Gravel";23.0;1;"";"";""
27;"Groundnuts expeller";63.0;1;"";"";""
28;"Groundnuts extraction";53.5;1;"";"";""
29;"Groundnuts shelled";107.5;1;"";"";""
30;"Guano";43.0;1;"";"";""
31;"Horns";97.5;1;"";"";""
32;"Iron bar";28.0;1;"";"";""
33;"Iron ore ";26.0;1;"";"";""
34;"Kainit";36.0;1;"";"";""
35;"Kaolin";40.0;1;"";"";""
36;"Kapok India";67.5;1;"";"";""
37;"Kuanite";27.5;1;"";"";""
38;"Linseeds";55.5;1;"";"";""
39;"Locust beans";87.0;1;"";"";""
40;"Magnesite Coarse";27.5;1;"";"";""
41;"Magnesite fine";16.0;1;"";"";""
42;"Magnesite Klinker";60.0;1;"";"";""
43;"Maize";52.5;1;"";"";""
44;"Manganeso";27.5;1;"";"";""
45;"Millet";48.0;1;"";"";""
46;"Molasses";28.0;1;"";"";""
47;"Nitrate of potash";36.0;1;"";"";""
48;"Nitrate of soda";26.0;1;"";"";""
49;"Nuts";46.0;1;"";"";""
50;"Oats";66.5;1;"";"";""
51;"Oil cake";55.5;1;"";"";""
52;"Palm kernels";58.0;1;"";"";""
53;"Peanuts unpelled";118.5;1;"";"";""
54;"Pease";45.0;1;"";"";""
55;"Phosphate";26.5;1;"";"";""
56;"Pigiron";10.0;1;"";"";""
57;"Pitch";48.0;1;"";"";""
58;"Potassium nitrate";36.0;1;"";"";""
59;"Potassium sulfate";44.0;1;"";"";""
60;"Potatoes";52.5;1;"";"";""
61;"Pyrite";32.5;1;"";"";""
62;"Pytophilite";30.0;1;"";"";""
63;"Rice bran pellets";56.0;1;"";"";""
64;"Rye";50.0;1;"";"";""
65;"Sal extract pellets";60.0;1;"";"";""
66;"Salt";37.5;1;"";"";""
67;"Sand vitreous";24.0;1;"";"";""
68;"Sorghum";59.0;1;"";"";""
69;"Soya bean oil";39.0;1;"";"";""
70;"Soya beans";57.0;1;"";"";""
71;"Sugar beet";131.0;1;"";"";""
72;"Sugar Cuba";46.5;1;"";"";""
73;"Sugar raw Bolivia";48.0;1;"";"";""
74;"Sulfur";39.0;1;"";"";""
75;"Sulphate of ammonium";43.5;1;"";"";""
76;"Sunflower ";75.0;1;"";"";""
77;"Super phosphate triple";42.0;1;"";"";""
78;"Tapioca pellets";57.0;1;"";"";""
79;"Tares";48.0;1;"";"";""
80;"Valonea";90.0;1;"";"";""
81;"Wheat";47.5;1;"";"";""
82;"Zinc concentrates";15.0;1;"";"";""
