"id";"name";"zone_id";"max_laden_draft";"latitude";"longitude";"draft_factor";"created_at";"updated_at";"deleted_at"
1;"FANG-CHENG";7;10.0;21.45;108.21;1.0;"";"";""
2;"BEIHAI";7;10.0;21.29;109.04;1.0;"";"";""
3;"HAIKOU";7;10.0;20.03;110.17;1.0;"";"";""
4;"BASUO";7;10.0;19.06;108.37;1.0;"";"";""
5;"ZHANJIANG";7;10.0;21.12;110.24;1.0;"";"";""
6;"LON SHUI TERMINAL";7;10.0;20.5;115.41;1.0;"";"";""
7;"SHEKOU";7;10.0;22.28;113.52;1.0;"";"";""
8;"SANYA";7;10.0;18.19;109.27;1.0;"";"";""
9;"YANGPU";7;10.0;19.44;109.11;1.0;"";"";""
10;"CHIWAN";7;10.0;19.58;110.02;1.0;"";"";""
11;"SHUI DONG";7;10.0;21.29;111.05;1.0;"";"";""
12;"QINZHOU";7;10.0;21.44;108.35;1.0;"";"";""
13;"ZHUHAI";7;10.0;22.14;113.35;1.0;"";"";""
14;"HUANGPU";7;10.0;23.05;113.25;1.0;"";"";""
15;"HUANGPUXINGANG";7;10.0;23.05;113.3;1.0;"";"";""
16;"GUANGZHOU";7;10.0;23.07;113.14;1.0;"";"";""
17;"YANTIAN";7;10.0;22.35;114.16;1.0;"";"";""
18;"HUIZHOU";7;10.0;22.43;114.31;1.0;"";"";""
19;"SHAN T OU";7;10.0;23.22;116.41;1.0;"";"";""
20;"CHAOZHOU";7;10.0;23.37;117.05;1.0;"";"";""
21;"DONGSHAN";7;10.0;23.45;117.31;1.0;"";"";""
22;"XIAMEN";7;10.0;24.27;118.04;1.0;"";"";""
23;"ZHANGZHOU";7;10.0;24.41;118.09;1.0;"";"";""
24;"QUANZHOU";7;10.0;24.53;118.36;1.0;"";"";""
25;"XIUYU";7;10.0;25.14;118.59;1.0;"";"";""
26;"FUZHOU";7;10.0;26.05;119.18;1.0;"";"";""
27;"WENZHOU";5;10.0;28.01;120.39;1.0;"";"";""
28;"HAIMEN";5;10.0;28.41;121.27;1.0;"";"";""
29;"NINGBO";5;10.0;29.53;121.33;1.0;"";"";""
30;"ZHEN HAI";5;10.0;29.57;121.42;1.0;"";"";""
31;"ZHOUSHAN";5;10.0;30.0;122.06;1.0;"";"";""
32;"ZHAPU";5;10.0;30.35;121.05;1.0;"";"";""
33;"SHANGHAI";5;10.0;31.13;121.3;1.0;"";"";""
34;"CHANGSHU";5;10.0;31.46;120.57;1.0;"";"";""
35;"TAICANG";5;10.0;31.39;121.12;1.0;"";"";""
36;"JIANGYIN";5;10.0;31.55;120.14;1.0;"";"";""
37;"CHANGZHOU";5;10.0;31.58;119.59;1.0;"";"";""
38;"GAOGANG";5;10.0;32.17;119.51;1.0;"";"";""
39;"YANGZHOU";5;10.0;32.16;119.26;1.0;"";"";""
40;"ZHANGJIANGANG";5;10.0;31.58;120.24;1.0;"";"";""
